Source,Target
Aert Coninx de Oude (II),Jannetje de Coning
Aert Coninx de Oude (II),Maria de Coning
Aert Coninx de Oude (II),Hans van Beusecom
Aert Coninx de Oude (II),Salomon de Koninck
Aert Coninx de Oude (II),Anneken de Moor
Aert Coninx de Oude (II),Bernard de Moor
Aert Coninx de Oude (II),Clara van Capelle
Aert Coninx de Oude (II),David de Moor
Aert Coninx de Oude (II),Jacob Valckenier
Aert Coninx de Oude (II),Joris Jorisz. (Backer)
Aert Coninx de Oude (II),Maillaert Brest
Aert Coninx de Oude (II),Cornelia Tambaert
Aert Coninx de Oude (II),Francoys Strick
Aert Coninx de Oude (II),David Questier
Aert Coninx de Oude (II),Salomon Davidsz. Questier
Aert Coninx de Oude (II),Petronella Questier
Aert Coninx de Oude (II),Philips Vingboons
Aert Coninx de Oude (II),Jan Colijn (Colyn) II
Aert Coninx de Oude (II),Jan Colijn I
Paulijntge van Beusecum ,Pieter Conings
Paulijntge van Beusecum ,Aert Coninx I
Paulijntge van Beusecum ,Hester van Baerle
Paulijntge van Beusecum ,Jan Gerritsz. Vriesenborch
Paulijntge van Beusecum ,Susanna Coninx I
Paulijntge van Beusecum ,Hans Caluwaert
Paulijntge van Beusecum ,Abigael Coninx
Paulijntge van Beusecum ,Daniel Coninx I
Paulijntge van Beusecum ,Neeltgen Coninx
Paulijntge van Beusecum ,Pieter de Coninck
Paulijntge van Beusecum ,Aert de Coninck
Paulijntge van Beusecum ,Hans Calvaert (Caluwaert)
Paulijntge van Beusecum ,Aert de Conincx III
Paulijntge van Beusecum ,Jacob de Conincx
Paulijntge van Beusecum ,Philips de Conincx (Coning)
Paulijntge van Beusecum ,Daniel de Coning II
Paulijntge van Beusecum ,David de Conincx
Paulijntge van Beusecum ,Pieter de Coning II
Paulijntge van Beusecum ,Abraham Furnerius
Paulijntge van Beusecum ,Abraham Stoffels
Paulijntge van Beusecum ,Barend Jansz. Verbeeck
Paulijntge van Beusecum ,Jannetje de Coning
Paulijntge van Beusecum ,Maria de Coning
Paulijntge van Beusecum ,Hans van Beusecom
Paulijntge van Beusecum ,Salomon de Koninck
Paulijntge van Beusecum ,Anneken de Moor
Paulijntge van Beusecum ,Bernard de Moor
Paulijntge van Beusecum ,Clara van Capelle
Paulijntge van Beusecum ,David de Moor
Paulijntge van Beusecum ,Jacob Valckenier
Paulijntge van Beusecum ,Joris Jorisz. (Backer)
Paulijntge van Beusecum ,Maillaert Brest
Paulijntge van Beusecum ,Cornelia Tambaert
Paulijntge van Beusecum ,Francoys Strick
Paulijntge van Beusecum ,David Questier
Paulijntge van Beusecum ,Salomon Davidsz. Questier
Paulijntge van Beusecum ,Petronella Questier
Paulijntge van Beusecum ,Philips Vingboons
Paulijntge van Beusecum ,Jan Colijn (Colyn) II
Paulijntge van Beusecum ,Jan Colijn I
Pieter Conings,Aert Coninx I
Pieter Conings,Hester van Baerle
Pieter Conings,Jan Gerritsz. Vriesenborch
Pieter Conings,Susanna Coninx I
Pieter Conings,Hans Caluwaert
Pieter Conings,Abigael Coninx
Pieter Conings,Daniel Coninx I
Pieter Conings,Neeltgen Coninx
Pieter Conings,Pieter de Coninck
Pieter Conings,Aert de Coninck
Pieter Conings,Hans Calvaert (Caluwaert)
Pieter Conings,Aert de Conincx III
Pieter Conings,Jacob de Conincx
Pieter Conings,Philips de Conincx (Coning)
Pieter Conings,Daniel de Coning II
Pieter Conings,David de Conincx
Pieter Conings,Pieter de Coning II
Pieter Conings,Abraham Furnerius
Pieter Conings,Abraham Stoffels
Pieter Conings,Barend Jansz. Verbeeck
Pieter Conings,Jannetje de Coning
Pieter Conings,Maria de Coning
Pieter Conings,Hans van Beusecom
Pieter Conings,Salomon de Koninck
Pieter Conings,Anneken de Moor
Pieter Conings,Bernard de Moor
Pieter Conings,Clara van Capelle
Pieter Conings,David de Moor
Pieter Conings,Jacob Valckenier
Pieter Conings,Joris Jorisz. (Backer)
Pieter Conings,Maillaert Brest
Pieter Conings,Cornelia Tambaert
Pieter Conings,Francoys Strick
Pieter Conings,David Questier
Pieter Conings,Salomon Davidsz. Questier
Pieter Conings,Petronella Questier
Pieter Conings,Philips Vingboons
Pieter Conings,Jan Colijn (Colyn) II
Pieter Conings,Jan Colijn I
Hester van Baerle,Aert Coninx I
Abraham Furnerius,Rembrandt van Rijn
Jannetje de Coning,Aert Coninx I
Maria de Coning,Aert Coninx I
Salomon de Koninck,Pieter de Coning II
Bernard de Moor,Anneken de Moor
Clara van Capelle,Bernard de Moor
David de Moor,Bernard de Moor
David de Moor,Anneken de Moor
Cornelia Tambaert,Aert de Conincx III
Petronella Questier,Philips Vingboons
Anthoni Gaillard de Jonge,Anthony (Gaillaert) Gaillard de Oude
Anthoni Gaillard de Jonge,Maaike (Mayke) Abeels
Anthoni Gaillard de Jonge,Anthony Gaillard III
Anthoni Gaillard de Jonge,Anthonij Galjaert (I)
Anthoni Gaillard de Jonge,Grietje Abeels
Anthoni Gaillard de Jonge,Steven Gaillard
Anthoni Gaillard de Jonge,Nikolaes Abeels
Anthoni Gaillard de Jonge,Josijntje Bincken (Bencken)
Anthoni Gaillard de Jonge,Jonas Abeels
Anthoni Gaillard de Jonge,Anna Rueland
Anthoni Gaillard de Jonge,Nicolas Coques
Anthoni Gaillard de Jonge,Govert Gaillard
Anthoni Gaillard de Jonge,Joan Gaillard
Anthoni Gaillard de Jonge,Matheus (Matthijs) Luls
Anthony Gaillard III,Maaike (Mayke) Abeels
Govert Gaillard,Joan Gaillard
Aeltien Gerrits,Dirck Harmenss
Aeltien Gerrits,Gerrit Jansz. Lambrinck
Aeltien Gerrits,Marten Codde
Aeltien Gerrits,Roeloff Codde
Trijn Gerrits,Aechte Gerrits
Trijn Gerrits,Anna Gerrits
Trijn Gerrits,Anna Lourens
Marritge (Maritge) Schonemans,Stijntge Schonemans (Stijntje)
Marritge (Maritge) Schonemans,Claes felt (felten) (Niclaes felt.)
Marritge (Maritge) Schonemans,Jannetje Felt
Marritge (Maritge) Schonemans,Maritje Coerten (Maria Koerten)
Marritge (Maritge) Schonemans,Pieter Dircxsz. Santvoort
Marritge (Maritge) Schonemans,Cornelia Schonemans
Marritge (Maritge) Schonemans,Claes Schonemans
Marritge (Maritge) Schonemans,Outger Pietersz. Spiegel
Marritge (Maritge) Schonemans,Sijtge Sijmons
Marritge (Maritge) Schonemans,Guilliaem Hendricksz.
Marritge (Maritge) Schonemans,Lysbeth Cornelis
Marritge (Maritge) Schonemans,Hendrick Schut
Marritge (Maritge) Schonemans,Jan van Herenbergh (Hardenburgh)
Marritge (Maritge) Schonemans,Annetge Hessels
Marritge (Maritge) Schonemans,Martin Parijsz
Marritge (Maritge) Schonemans,Hendrick Schut
Marritge (Maritge) Schonemans,Alexander Benyn
Marritge (Maritge) Schonemans,Cornelia Schonemans
Claes felt (felten) (Niclaes felt.),Stijntge Schonemans (Stijntje)
Claes felt (felten) (Niclaes felt.),Jannetje Felt
Claes felt (felten) (Niclaes felt.),Maritje Coerten (Maria Koerten)
Maritje Coerten (Maria Koerten),Pieter Dircxsz. Santvoort
Sijtge Sijmons,Guilliaem Hendricksz.
Annetge Hessels,Martin Parijsz
Cornelia Schonemans,Alexander Benyn
C. Verbeecq,Anna van Loosvelt
Jan Hogenboom,Cornelis Rutgers
Palm Mathijs,Sijmen Martsen
Pieter Barcman,Aert Coninx de Oude (II)
Pieter Barcman,Paulijntge van Beusecum 
Pieter Barcman,Pieter Conings
Jan de Vos,Maria Dircx
Jan de Vos,Garbrant Gaerloffsen
Anna van Loosvelt,Lucas Luce
Anna van Loosvelt,Hendrick Uylenburgh
Palm Mathijs,Harmen Lenertsen Stopmes
Palm Mathijs,Dirckien Dirx
Palm Mathijs,Davidt Gerritssen
Palm Mathijs,Marritgen Cornelis 
Pieter Barcman,Dirck Strijcker
Pieter Barcman,Agnes (Agnietgen Dircksdr. Ruystens) Vuijstigh
Pieter Barcman,Abraham Janss Duurcoop
Willem Hasen,Anthoni Gaillard de Jonge
Palm Mathijs,Aeltien Gerrits
Palm Mathijs,Trijn Gerrits
Pieter Barcman,Marritge (Maritge) Schonemans
Pieter van Houten,Jacob Westfrisius
Nicolas Coques,Pieter van Houten
Pieter van Houten,Pieter van Houten de Jonge
Pieter van Houten,Hans van der Put
Pieter van Houten,Rem Anthonisz.
Pieter van Houten,Jan Claesz. Passer
Pieter van Houten,Constant Bourgeois
Rem Anthonisz.,Constant Bourgeois
Constant Bourgeois,Jan Claesz. Passer
Jan Claesz. Passer,Rem Anthonisz.
Grietie Pieters,Pieter Lourisz. Spiegel
Grietie Pieters,Pieter Huybertsz.
Grietie Pieters,Machteld Pieters Bicker
Grietie Pieters,Hendrick Laurens Spiegel (Hendrick Laurensz.)
Grietie Pieters,Brechten ten Berch
Grietie Pieters,Diewer Jans van Marcken
Pieter Lourisz. Spiegel,Hendrick Laurens Spiegel (Hendrick Laurensz.)
Pieter Lourisz. Spiegel,Brechten ten Berch
Pieter Lourisz. Spiegel,Diewer Jans van Marcken
Brechten ten Berch,Hendrick Laurens Spiegel (Hendrick Laurensz.)
Brechten ten Berch,Marten ten Berch I 
Brechten ten Berch,Catarina ten Berch
Hendrick Bouwer,Catarina ten Berch
Marten ten Berch I  ,Helena Bouwers
Diewer Jans van Marcken,Hendrick Laurens Spiegel (Hendrick Laurensz.)
Laurens Lamberti,Grietie Pieters
Claes Moeyaert,Grietie Pieters
Jan Deyman (Deijman),Maria Bas
Jan Deyman (Deijman),Wolphert Deyman (Deijman)
Maria Troncquoy (Trounquoij),Wolphert Deyman (Deijman)
Maria Troncquoy (Trounquoij),Jan Deyman (Deijman)
Jacob Hellerus,Maria Bas
Jacob Hellerus,Jan Deyman (Deijman)
Jan Deyman (Deijman),Cornelis Coenen
Jan Deyman (Deijman),Grietge Francken
Cornelis Coenen,Grietge Francken
Grietge Francken,Pieter Barcman
Cornelis Coenen,Pieter Barcman
Cornelis Coenen,Salomon de la Tombe
Cornelis Coenen,Thomas de Keyser
Cornelis Coenen,Aeltgen Claes
Cornelis Coenen,Annetge Hendrix
Salomon de la Tombe,Grietge Francken
Thomas de Keyser,Grietge Francken
Aeltgen Claes,Grietge Francken
Annetge Hendrix,Grietge Francken
Jan Colijn I,Elsje Michiels
Jan Colijn I,Claes Colijn
Jan Colijn I,Michiel Colijn
Jan Colijn I,Niesgen Colijn
Jan Colijn I,Heyndrick Colijn II
Jan Colijn I,Emanuel Colijn
Jan Colijn I,Lysbeth (Elisabeth?) Colijn
Jan Colijn I,Cornelis Benninck Jansz.
Jan Colijn I,Heyndrick Colijn I
Jan Colijn I,Pieter Michielsz. Colijn
Jan Colijn I,Rombout Jacobsz. de Oude
Jan Colijn I,Nicolas Colijn
Elsje Michiels,Claes Colijn
Elsje Michiels,Michiel Colijn
Elsje Michiels,Niesgen Colijn
Elsje Michiels,Heyndrick Colijn II
Elsje Michiels,Emanuel Colijn
Elsje Michiels,Lysbeth (Elisabeth?) Colijn
Elsje Michiels,Cornelis Benninck Jansz.
Elsje Michiels,Heyndrick Colijn I
Elsje Michiels,Pieter Michielsz. Colijn
Elsje Michiels,Rombout Jacobsz. de Oude
Elsje Michiels,Nicolas Colijn
Niesgen Colijn,Cornelis Benninck Jansz.
Cornelis Benninck Jansz.,Aefje Cornelis Boschamer (Bolhamer?)
Lysbeth (Elisabeth?) Colijn,Amelis Vortkamp
Niesgen Colijn,Claes Colijn
Niesgen Colijn,Michiel Colijn
Niesgen Colijn,Heyndrick Colijn II
Niesgen Colijn,Emanuel Colijn
Niesgen Colijn,Lysbeth (Elisabeth?) Colijn
Niesgen Colijn,Cornelis Benninck Jansz.
Niesgen Colijn,Heyndrick Colijn I
Niesgen Colijn,Pieter Michielsz. Colijn
Niesgen Colijn,Rombout Jacobsz. de Oude
Niesgen Colijn,Nicolas Colijn
Claes Colijn,Michiel Colijn
Claes Colijn,Heyndrick Colijn II
Claes Colijn,Emanuel Colijn
Claes Colijn,Lysbeth (Elisabeth?) Colijn
Claes Colijn,Cornelis Benninck Jansz.
Claes Colijn,Heyndrick Colijn I
Claes Colijn,Pieter Michielsz. Colijn
Claes Colijn,Rombout Jacobsz. de Oude
Claes Colijn,Nicolas Colijn
Michiel Colijn,Heyndrick Colijn II
Michiel Colijn,Emanuel Colijn
Michiel Colijn,Lysbeth (Elisabeth?) Colijn
Michiel Colijn,Cornelis Benninck Jansz.
Michiel Colijn,Heyndrick Colijn I
Michiel Colijn,Pieter Michielsz. Colijn
Michiel Colijn,Rombout Jacobsz. de Oude
Michiel Colijn,Nicolas Colijn
Heyndrick Colijn II,Emanuel Colijn
Heyndrick Colijn II,Lysbeth (Elisabeth?) Colijn
Heyndrick Colijn II,Cornelis Benninck Jansz.
Heyndrick Colijn II,Heyndrick Colijn I
Heyndrick Colijn II,Pieter Michielsz. Colijn
Heyndrick Colijn II,Rombout Jacobsz. de Oude
Heyndrick Colijn II,Nicolas Colijn
Emanuel Colijn,Lysbeth (Elisabeth?) Colijn
Emanuel Colijn,Cornelis Benninck Jansz.
Emanuel Colijn,Heyndrick Colijn I
Emanuel Colijn,Pieter Michielsz. Colijn
Emanuel Colijn,Rombout Jacobsz. de Oude
Emanuel Colijn,Nicolas Colijn
Lysbeth (Elisabeth?) Colijn,Cornelis Benninck Jansz.
Lysbeth (Elisabeth?) Colijn,Heyndrick Colijn I
Lysbeth (Elisabeth?) Colijn,Pieter Michielsz. Colijn
Lysbeth (Elisabeth?) Colijn,Rombout Jacobsz. de Oude
Lysbeth (Elisabeth?) Colijn,Nicolas Colijn
Cornelis Benninck Jansz.,Heyndrick Colijn I
Cornelis Benninck Jansz.,Pieter Michielsz. Colijn
Cornelis Benninck Jansz.,Rombout Jacobsz. de Oude
Cornelis Benninck Jansz.,Nicolas Colijn
Heyndrick Colijn I,Cornelis Benninck Jansz.
Heyndrick Colijn I,Pieter Michielsz. Colijn
Heyndrick Colijn I,Rombout Jacobsz. de Oude
Heyndrick Colijn I,Nicolas Colijn
Eva Vinck,Jacob Westfrisius
Eva Vinck,Jan Basse
Eva Vinck,David Colijn
Eva Vinck,Andries de Graeuw (de Jonge)
Eva Vinck,Lambert van Dalen
Eva Vinck,Willem Vinck
Eva Vinck,Maria Opschoor
Eva Vinck,Maria de Graeuw
Eva Vinck,Adriaen Boermans
Andries de Graeuw (de Jonge),Lambert van Dalen
Andries de Graeuw (de Jonge),Willem Vinck
Andries de Graeuw (de Jonge),Maria Opschoor
Andries de Graeuw (de Jonge),Maria de Graeuw
Andries de Graeuw (de Jonge),Adriaen Boermans
Andries de Graeuw (de Jonge),Jan Jansz. Starter
Andries de Graeuw (de Jonge),Susanna van Dalen
Andries de Graeuw (de Jonge),Roelandt Savery
Susanna van Dalen,Roelandt Savery
Maria de Graeuw,Adriaen Boermans
Palm Mathijs,Jacob Dircxss
Palm Mathijs,Neeltgen Eeuwouts
Neeltgen Eeuwouts,Jacob Dircxss
Jacob Dircxss,Dirck Hendricksz. Schoneman
Dirck Hendricksz. Schoneman,Hendrick Dircksz. Schoneman
Bartran de Rocourt (Betrant de Baucourt?),Catelijn Roseau (Catherine de Roseau)
Bartran de Rocourt (Betrant de Baucourt?),Marie de Fontaine
Marie de Fontaine,Jan de Latie 
Bartran de Rocourt (Betrant de Baucourt?),Louis Rocourt (Louis Rotkoert) (Louijs)
Bartran de Rocourt (Betrant de Baucourt?),Palm Mathijs
Catelijn Roseau (Catherine de Roseau),Palm Mathijs
Bartran de Rocourt (Betrant de Baucourt?),Barbara Roseau
Bartran de Rocourt (Betrant de Baucourt?),Anne Roseau
Bartran de Rocourt (Betrant de Baucourt?),Catelijn Roseau (Catherine de Roseau)
Catelijn Roseau (Catherine de Roseau),Barbara Roseau
Catelijn Roseau (Catherine de Roseau),Anne Roseau
Catelijn Roseau (Catherine de Roseau),Catelijn Roseau (Catherine de Roseau)
Catelijn Roseau (Catherine de Roseau),Franchois de Gouve
Bartran de Rocourt (Betrant de Baucourt?),Franchois de Gouve
Catelijn Roseau (Catherine de Roseau),Jacob Jacobsz.
Bartran de Rocourt (Betrant de Baucourt?),Jacob Jacobsz.
Jacob Jacobsz.,Marry d'Arras
Bartran de Rocourt (Betrant de Baucourt?),Jan Lambrechtsz. 
Bartran de Rocourt (Betrant de Baucourt?),Isaack Castelijn
Catelijn Roseau (Catherine de Roseau),Isaack Castelijn
Bartran de Rocourt (Betrant de Baucourt?),Jan de la Court
Catelijn Roseau (Catherine de Roseau),Jan de la Court
Bartran de Rocourt (Betrant de Baucourt?),Jan Harmansz. 
Catelijn Roseau (Catherine de Roseau),Jan Harmansz. 
Jacob Dircxss,Neeltgen Eeuwouts
Palm Mathijs,Jacob Dircxss
Palm Mathijs,Neeltgen Eeuwouts
Jacob Dircxss,Dirck Hendricksz. Schoneman
Jacob Dircxss,Hendrick Dircksz. Schoneman
Dirck Hendricksz. Schoneman,Hendrick Dircksz. Schoneman
Louis Rocourt (Louis Rotkoert) (Louijs),Catelijn Roseau (Catherine de Roseau)
Louis Rocourt (Louis Rotkoert) (Louijs),Gerrit Jacobsz. Haringh
Leonora Rocourt,Louis Rocourt (Louis Rotkoert) (Louijs)
Hans Honckelboers (Onckelboers),Louis Rocourt (Louis Rotkoert) (Louijs)
Hans Honckelboers (Onckelboers),Leonora Rocourt
Hans Honckelboers (Onckelboers),Louis Rocourt (Louis Rotkoert) (Louijs)
Magdalena Rocourt,Louis Rocourt (Louis Rotkoert) (Louijs)
Tanneken Rocourt,Louis Rocourt (Louis Rotkoert) (Louijs)
Lysken Rocourt,Louis Rocourt (Louis Rotkoert) (Louijs)
Adriaentge Rocourt,Louis Rocourt (Louis Rotkoert) (Louijs)
Mathijs Hals,Louis Rocourt (Louis Rotkoert) (Louijs)
Cornelis Hals,Louis Rocourt (Louis Rotkoert) (Louijs)
Magdalena Rocourt,Leonora Rocourt
Tanneken Rocourt,Leonora Rocourt
Lysken Rocourt,Leonora Rocourt
Adriaentge Rocourt,Leonora Rocourt
Mathijs Hals,Leonora Rocourt
Cornelis Hals,Leonora Rocourt
Tanneken Rocourt,Magdalena Rocourt
Lysken Rocourt,Magdalena Rocourt
Adriaentge Rocourt,Magdalena Rocourt
Mathijs Hals,Magdalena Rocourt
Cornelis Hals,Magdalena Rocourt
Lysken Rocourt,Tanneken Rocourt
Adriaentge Rocourt,Tanneken Rocourt
Mathijs Hals,Tanneken Rocourt
Cornelis Hals,Tanneken Rocourt
Adriaentge Rocourt,Lysken Rocourt
Mathijs Hals,Lysken Rocourt
Cornelis Hals,Lysken Rocourt
Mathijs Hals,Adriaentge Rocourt
Cornelis Hals,Adriaentge Rocourt
Cornelis Hals,Mathijs Hals
Hendrick de Vries,Willem Cluyt
Aeltgen Schnickels (Schenckels),Willem Cluyt
Aeltgen Schnickels (Schenckels),Hendrick Hudde Rutgersz.
Aeltgen Schnickels (Schenckels),Gerrit de Vries
Aeltgen Schnickels (Schenckels),Willem Gerritsz. de Vries
Gerrit de Vries,Willem Gerritsz. de Vries
Hendrick Hudde Rutgersz.,Aeltgen Schnickels (Schenckels)
Hendrick Hudde Rutgersz.,Rutgert Hudde
Gerrit de Vries,Hendrick de Vries
Willem Gerritsz. de Vries,Hendrick de Vries
Jan Hellincx,Hendrick Hudde Rutgersz.
Geertruyd Hellincx,Hendrick Hudde Rutgersz.
Trijntje Hendricx,Hendrick de Vries
Louis Rocourt (Louis Rotkoert) (Louijs),Hendrick de Vries
Louis Rocourt (Louis Rotkoert) (Louijs),Willem Gerritsz. de Vries
Arent Pietersz. Brugman,Neeltgen Cornelis (Neeltie Cornelis)
Neeltgen Cornelis (Neeltie Cornelis),Evert Cocq
Arent Pietersz. Brugman,Evert Cocq
Pieter Jansz.,Arent Pietersz. Brugman
Lysbet Dierixdr. (Lysbeth Dircx),Arent Pietersz. Brugman
Cornelis Lucasz.,Arent Pietersz. Brugman
Stynyge Pe,Arent Pietersz. Brugman
Arent Arentsz. Cabel,Arent Pietersz. Brugman
Jan Arentsz. ,Arent Pietersz. Brugman
Aaltie Alberts de Veer,Arent Pietersz. Brugman
Myntgen de Veer,Arent Pietersz. Brugman
Jochem Jacobsz. Wachter,Arent Pietersz. Brugman
Pieter Jansz.,Neeltgen Cornelis (Neeltie Cornelis)
Lysbet Dierixdr. (Lysbeth Dircx),Neeltgen Cornelis (Neeltie Cornelis)
Cornelis Lucasz.,Neeltgen Cornelis (Neeltie Cornelis)
Stynyge Pe,Neeltgen Cornelis (Neeltie Cornelis)
Arent Arentsz. Cabel,Neeltgen Cornelis (Neeltie Cornelis)
Pieter Jansz.,Lysbet Dierixdr. (Lysbeth Dircx)
Cornelis Lucasz.,Stynyge Pe
Oetje Brugman,Neeltgen Cornelis (Neeltie Cornelis)
Oetje Brugman,Arent Pietersz. Brugman
Lysbet Dierixdr. (Lysbeth Dircx),Arent Arentsz. Cabel
Lysbet Dierixdr. (Lysbeth Dircx),Jan Arentsz. 
Aaltie Alberts de Veer,Pieter van Aenradt
Aaltie Alberts de Veer,Albert de Veer
Aaltie Alberts de Veer,Myntgen de Veer
Aaltie Alberts de Veer,Jochem Jacobsz. Wachter
Jacomo Noirot,Jacob Jacobsz.
Jacomo Noirot,Neltgen Jacobs
Jacomo Noirot,Engel Jacobs
Jacomo Noirot,Daniel Noirot
Jacomo Noirot,Issac Noirot
Jacomo Noirot,Lucas van Uffelen
Lucas van Uffelen,Jacomo (Jacques) van Uffelen
Jacomo Noirot,Jacomo (Jacques) van Uffelen
Cathaline Noirot,Jacomo Noirot
Cathaline Noirot,Adriaen de Grebber
Cathaline Noirot,Adriaen Noirot I
Jacomo Noirot,Adriaen Noirot I
Adriaen Noirot I,Elisabeth de Wilhem
Elisabeth de Wilhem,Christiaen de Wilhem
Susanna de Wilhem,Christiaen de Wilhem
Susanna de Wilhem,Elisabeth de Wilhem
Christiaen de Wilhem,Paolo de Wilhem I
Paolo de Wilhem I,Paolo de Wilhem II
Adriaen Noirot II,Susanna de Wilhem
Adriaen Noirot II,Jacob Noirot
Susanna de Wilhem,Jacob Noirot
Paolo de Wilhem I,Adriaen Noirot I
Gerrit Claes,Adriaen Noirot I
Gerrit Claes,Paolo de Wilhem I
Pieter Buddens (Boddens) de oude,Catharina van der Voort
Catharina van der Voort,Jacob Westfrisius
Pieter Buddens (Boddens) de oude,Jacob Westfrisius
Catharina van der Voort,Aeltgen Claes
Catharina van der Voort,Engelet Jacobs
Pieter Buddens (Boddens) de oude,Jan Cornelisz. Boddens
Pieter Buddens (Boddens) de oude,Mayke van de Put Gerrits
Mayke van de Put Gerrits,Susanna Boddens
Pieter Buddens (Boddens) de oude,Susanna Boddens
Mayke van de Put Gerrits,Aernout Allewijn
Pieter Buddens (Boddens) de oude,Aernout Allewijn
Susanna Boddens,Aernout Allewijn
Mayken Boddens,Pieter Buddens (Boddens) de oude
Mayken Boddens,Mayke van de Put Gerrits
Pieter Buddens (Boddens) de oude,Pieter Boddens de Jonge
Catharina van der Voort,Pieter Boddens de Jonge
Susanna Boddens,Pieter Boddens de Jonge
Petronella Syts,Pieter Boddens de Jonge
Cattrijn Boddens,Catharina van der Voort
Cattrijn Boddens,Susanna Boddens
Cattrijn Boddens,Pieter Boddens de Jonge
Cattrijn Boddens,Pieter Buddens (Boddens) de oude
Isaack Boddens,Cattrijn Boddens
Catelijn Roseau (Catherine de Roseau),Cattrijn Boddens
Catharina van der Voort,Isaack Boddens
Pieter Buddens (Boddens) de oude,Catelijn Roseau (Catherine de Roseau)
Catharina van der Voort,Isaack Boddens
Pieter Buddens (Boddens) de oude,Catelijn Roseau (Catherine de Roseau)
Isaack Boddens,Catelijn Roseau (Catherine de Roseau)
Isaack Boddens,Claes Fredericksz. 
Johan Maryn de jonge,Isaack Boddens
Mayken Boddens,Johan Maryn de jonge
Mayken Boddens,Isaack Boddens
