Record No.,Inventory No.,Archive Name,Archive Call Number,Archive Type,Date of Appraisal,Owner Last Name,Inv. City,Inv. Count,Inv. Country,Art Value,Inv. Value,Owner Life Dates,Marriage Date,Ceremony,Additional Names,Owner Full Name,Sex,Notary,Occupation,Purpose,Religion,Residence,Biographical Notes,Intro Text
223,1500,Gemeentearchief Amsterdam,WK 5073/962,Orphan Chamber,1637/09/10,Bas,Amsterdam,28,Nederland,583 |d  10 stuivers,,1607 |d 1636,11/08/1630,,,"Bas, Nicolaes",M,Daniel Jansz. van Beuningen,,auction sale,Reformed/Remonstrant,,"This inventory in part overlaps with INVNO 150. For bio-data on Nicholaes Bas, see the TEXT of R 66.",
224,305,Gemeentearchief Amsterdam,WK 5073/962,Orphan Chamber,1638/02/09,Spranger,Amsterdam,1383,Nederland,1638 |d  5 st.,5707 |d  7 st.,1577 |d 1637/10/12,1613/08/29; 1622/05/29; 1630/04/09,K,,"Spranger, Gommer",M,Daniel Jansz. van Beuningen,Merchant (largescale),auction sale,Reformed,Ooster Voorburchwal in Amsterdam,"Gommer Mattheusz.  Spranger was born in Antwerp in 1577 and died in Amsterdam in 1637. As early as 1597, he was the agent of the Heester and Van Uffelen families of traders in the Kola peninsula of Russia (Wijnroks, Handel tussen Rusland en de Nederlanden 1560-1640, p. 260). In Amsterdam, he was a merchant, first in the Bantamstraet, then on the O.Z. Voorburchwal in den Lupart. He married Maria de Pickere in 1613, Catharina de Raet in 1622, and finally Susanna Mostart on 9 April 1630 (she was the daughter of Daniel Mostart I and Bertijnken Bachers) (Elias, Vroedschap, p. 761). He was the brother of Adriaen Spranger, merchant in Cadiz, and Jochem Spranger, merchant in Sevilla (Wijnroks, op.cit. p. 261). In addition, he was the brother of Mattheus Spranger II (cited below).  On 3 March 1613, Gommer Spranger and Maria Thibouts de Pickere signed a pre-nuptial contract. His uncle, the  cloth finisher Lucas van Salinger assisted him (Wijnroks, op.cit. pp. 260-1).  On 10 February 1617, Gommer Spranger presented his two children, Matheus, 18 months old, and Constantia, two months old, whose late mother was Maria de Pickere and declared that the two children had 14,000 f. from their mother's inheritance in addition to the clothes and jewels of the deceased which amounted to 4,500 f. In her testament Maria de Pickere had cited the children's uncle Pieter Coeymans and an uncle by marriage Leonard Rans (married to Constantia Coeymans (Wijnroks, op. cit., p.263). He remarried with Catharina de Raet in 1622 and with Susanna Mostaert, the daughter of Daniel Mostart I, on 22 April 1630.  In 1631, Gommer Spranger, with his wife and children, was taxed 350 f (Kohier, fol. 132, p. 31). (For more biographical details about Gommer Spranger and his close relatives, see the NOTES to R 31375 of Montias2; Daniel Mostart I was the father of Daniel Mostart II, city secretary, of R 21940). The death inventory of Gommer Spranger was taken on 1-5 January 1637 (NA 1412, deel 32(37), Not. F. Bruyningh). In 1644, Matheus Spranger, the brother of Gommer, declared that he and his sister had duly received their part of the inheritance. As guardians over the children were named Jeronimus Rans of INVNO 1334 and Matheus Halewijn of INVNO 257.    At the sales of March and April 1638, the prints and drawings alone brought 1638 f. The records of the sale of Gommer Spranger's paintings have not been preserved, if the sale was ever held. It is possible, however, that the sum cited on the back page of Register 5073/962 of the Orphan Chamber, namely 5707 f. 7 st. included the paintings. Note also that paintings by Bartholomeus Spranger in the death inventory of Maerten van Halewijn, who was an important buyer at the sale of drawings and prints, had been bought at the Spranger auction of paintings. Note that if each print in  lots containing multiple prints (e.g. 120 or more) was inputted as a single record, the ICNT would rise from 1119 to about 1700.","Den 9e februarij 1638 zijn de naervolgende printen, teeckeningen, schilderijen achtergelaten bij Gommer Spranger vercocht."
229,311,Gemeentearchief Amsterdam,"563A, film 6544, fol. 31r-42vo",Notarial,1633/10/20,Broen,Amsterdam,22,Nederland,,,,1585/11/30,Kerk,widow of Hans Lienertsz.,"Broen, Lijsebeth",F,Jacob Westfrisius,"Craft |a Tailor, shoemaker, other clothing",death inventory,probably Reformed,Amsterdam,"Among the books: Groot Bijbel, Erasmus's translation of the New Testament, psalm boeck, boeck in octavo van de Epistel Pauli totte Romeynen. On 30 November 1585, Hans Lenaertsz. (I), from Antwerp, was betrothed to Betteke Broen, also from Antwerp (DTB 404/82).  In the Kohier van den Tweehondert Penning of 1631, Hans Lenerts, hatmaker, paid a tax of 140 f., at which time he lived on the East side of the Prinsengracht (fol. 193, p.44). The children of the couple were: Lijsbet Lieners married to Jan Luyckensz.; Marritge Lieners, married to Claes Claessen Lieftingh; Heter Lieners, married to Mr. Abraham van der Weert; Hans Lieners de jonge, married to Sara Willers. Hans Lieners de jonge had died by this date, leaving a son, named Dirck. Hans Lenaerts (Lieners, II)  de jonge, likewise hatmaker, was said to be 35 years old in an act of 20 February 1624, in which three of his knechts asserted  that he had employed a journeyman from Osnabrugge for four years (Van Dillen, Bronnen tot de geschiedenis van het bedrijfsleven R.P.G. 78(1933), p.523). On 29 July 1625, the hatmaker's guild resolved that Hans Lenaertsz., hatmaker, should not employ more than 24 knechts, while the other members of the guild would be allowed no more than six (Van Dillen, op.cit. p. 579).","Inventaris ... van sal. Lijsebeth Broen weduwe ende boelhoudtster van sal. Hans Lienertsz. eertydts hoedemaker, gelyck dieselve bij haer overlijden bevonden ende achtergelaten is, [...] op requisitie van Jan Luycksen getrouwt hebbende Lijsebet Lieners, Claes Claessen Lieftingh getrouwt hebbende Marrijtgen Lieners, Mr. Abraham van Weert getrouwt hebbende Hester Lieners ende Hendrick Bareentsz. Wachtmans als last ende procuratie hebbende van Sara Willers weduwe ende boelhouster van wylen Hans Lieners de jonge , ende sulx vooghdesse van haere onmondigen soon Dirck Lienersz., alle inder qualite kinderen ende erffgenamen tot der overledens achtergelaten goederen, Synde dieselve bevonden als volcht. Postscript: Aldus gedaen [...] ten huyse ende overstaen als voors. opten 20 ende 21 october anno 1633"
230,312,Gemeentearchief Amsterdam,"563A, fil. 38r. -48r.",Notarial,1634/03/06,Vleck,Amsterdam,21,Nederland,,,,,,,"Vleck, Tielman van",M,J. Westfrisius,,death inventory,probably Reformed,Amsterdam,"No information has turned up on the owner of the goods Thielman van Vleck I. However, Thielman (van) Vleck II is known to have been a notary and to have died before 13 July  1688 when the painter Daniel Schellincks, acting on his behalf and that of his brother Willem Schellincks (likewise painter) gave a procuration to their brother Jacobus Schellincks to collect money from the widow and heirs of Tielman Vleck, in his life notary in New York, which apparently had been entrusted him by Johan le Thoor II (the son of Jan le Thoor I of R 424) (NA 4893, fol. 584). Isaack Moers, one of the testamentary guardians of Thielman Vleck de jonge, was presumably the copper smith of R 26927 of Montias2. Among the books in the estate: Psalmboeck in quarto, Uytlegging Bullingeri over de Cathechismus, Van Meteren, Het loff der Israeliten. The inventory contained a portrait of Thielman Vleck de jonge (R 8507 of Montias2).","Inventaris vanden inboel van wijlen Tielman van Vleck , gelijck hy denselve metter doodt ontruijmt heeft, [...] op requisitie van Sr. Isaac Moers, Pieter Bex, ende Pieter Clarissen als last hebbende van synen broeder Michiel Clarisse t'samen testamentaire vooghden van Thijlman van Vleck de jonge, synde dieselve bevonden als volcht. Postscriptum: Actum den 17 ende 18 Junij anno 1633 ten overstaen vande voorn. requiranten ende Thielman van Vleck de jonge voorn.  Ende daerna opte 6 ende 7 martij 1634 de voors. inboel wederom naergesien ende bevonden als vooren , ten ooverstaen van Sr. Isaac Moers."
231,313,Gemeentearchief Amsterdam,"563 A, film 6544, fol. 4r-6vo",Notarial,1633/02/10,Hoeffnagel,Amsterdam,31,Nederland,,,,,,,"Hoeffnagel, Arent",M,J. Westfrisius,,"inventory drawn up at request of court officer, presumably on behalf of the owner's creditors",,Aen de Zingel in Amsterdam,"Arent Hoefnagel, living on the Singel, paid a tax of 5 f. (Kohier fol.16vo, p.5). He is otherwise unknown. The witness Danckert Kempenaer cited in the INTRO (of R 25250) was connected in various ways with artists. On Susanna and Margaretha Hoefnagel, see R 21578 of Montias2.","Inventaris vande inboel bevonden ten huijse van Arent Hoeffnagel aende Zingel alhier, [...] op requisitie van mijn heer de officier dr. Johan Grotenhuijs... Postscriptum: Actum ter presentie van Danckert Kempenaer cruidenier ende Marten Barentsz. heeren dienaer opten 10 februari anno 1633"
232,314,Gemeentearchief Amsterdam,"563 A, omslag 4, film nr. 4916, fol. 7-10",Notarial,1633/04/30,Immen,Amsterdam,13,Nederland,,,,,,,"Immen, Hans van",M,J. Westfrisius,,unknown,probably Reformed,Amsterdam,"Hans van Immen may have been the son or the brother  of Tobias van Immen of R 27197 of Montias2. They were certainly living in the same house, the Gulden Olifant outside the Gasthuispoort, near the St. Nicolaesbrug, when Tobias van Immen bought lots for 2 f. 8 st. in the Haarlem lottery (GAA, 86/16 F 645.) Hans van Immen seems to have recovered from his illness. It was at the request of the eersame Hans van Immen, silk spinner (zydereeder) that the inventory of Mettje Wonders, widow of Pieter van der Loo, diamond cutter and jeweler of INVNO 920, was drawn up on 11 November 1641. Hans's son Gerrit van Immen, zydereeder, died before 14 March 1638, when Jacob Pancras (the second husband of Neeletje van Immen) appeared before the Orphan Chamber and declared that Jan, 19, the son left by Gerrit van Immen, whose late mother was Elisabeth Haeck, was entitled to 1,348 f. from the inheritance of his grandfather Hans van Immen (WK 5073/789). The inventory was drawn up under supervision of Hans van Immen's son Abraham, Jacob Banckeraets, and Matthijs van der Burgh, the latter two being his sons-in-law.   Among the books in the  present inventory: Groote Bijbel, twee psalm boecken, Martelaers boeck, groot testament.","Inventaris van de meubelen ende imboel van Hans van Immen, gelijck de selve bij tijde van sijne tegenwordige sieckte tsijnen huyse syn bevonden door my notaris Jacobus Westfrisius Notaris op requisitie ende ten overstaen van Abraham van Immen, Jacob Banckeraets ende Mathijs van den Burght, respective soon ende schoonsoonen van de voors. Hans van Immen, beschreven ende geinventariseert de selve als volcht. Postscript: Aldus gedaen ende geinventariseert binnen Amsterdam ter presentie ende overstaen van de Requiranten voorn.  [Abraham van Immen, Jacob Banckenraet ende Mathijs van der Burght] opten xxx aprilis xvi drie en dertigh."
293,376,Gemeentearchief Amsterdam,"714, fol. 208",,1637/11/28,Koenraets,Amsterdam,18,Nederland,,,? |d 1637/11/?,,,and his wife Aeltje Vestje,"Koenraets, Andries",B,Pieter Carelsz.,"Craft |a Tailor, shoemaker, other clothing",death inventory,Roman Catholic,Amsterdam,"On 21 July 1620, Andries Coenraets and Clara Hermans had their son Meijnert baptized in the N.K. (DTB 40/92). On 25 April 1637, Andries Coenrats, from Zutphen, widower of Claartie Hermans, schoemacker, was betrothed to Aaltje Vesti, from Cloppenburgh, 40, living on the Heerengracht (DTB 446/162). Among the few books in the inventory:  Catholique sermoenen. Bijbel van Liesvelt","Inventaris van alle de goederen in sulcken voegen Andries Koenrats schoemacker op maendach lestleden snachts overleden ende op den gisteren begraven die met  Aeltje Vatje sijn nagelaten wedue int gemeen beseten ende metter doot ontruijmt heeft, beschreven door mij ter instantie van Kornelis Egbertsz. als man en voogt van Mrytje Henrixdr. end Pieter Jansz. Essel (?), adsissert eigenaer van 't huis ende erf leggende bij de Noorder Kerck, die alde selve goederen door den rodragende bode geregtelijcken op hen bodem heeft gedaen ... lopende jaer huishuur ter somme van 119 gulden, ende sijn de goederen bevonden als volght. Postscript: Aldus gedaen binnen Amsterdam ter presentie van Bartholomeus Ketel ende Jan Adolph Meurs burger den 28en november 1637."
297,380,Gemeentearchief Amsterdam,563 B,,1635/01/06,Buddens (Boddens),Amsterdam,21,Nederland,39 |d  5 stuivers,,1569 |d 1634/12/11,1594; 1619/09/01,Pui,and Catharina van der Voort,"Buddens (Boddens), Pieter (de oude)",B,J. Westfrisius,Merchant (largescale),death inventory,Reformed/Calvinist,aen de Deventer houtmarckt in Amsterdam,"According to Johan Elias (Vroedschap van Amsterdam, vol.2, p. 628), the merchant Pieter Boddens, son of Jan Cornelisz. Boddens, fled Flanders for religious reasons. He settled first in Haarlem and then in Amsterdam. He married Mayke van de Put Gerrits in 1594 (Elias, ibid.)  On 6 March 1605, Pieter Boddens and Mayke van der Put had their daughter Susanna baptized in the N.K. in the presence of Aernout Allewijn (DTB 39/60). On 7 September 1619, Pieter Boddinx, from Tielt, widower, living in the Warmoesstraet, was betrothed to Cataline Vervoort, from Antwerp, living in Goes (DTB 763/73).   On 12 September 1619, Pieter Boddens, from Tielt in Flanders, appeared before the Orphan Chamber to present his daughter Mayken, 12 years old, whose late mother was Mayken van der Putte. The child's assets included at least 4000 f. (WK 5073/789). On 30 July 1623, Pieter Boddens and Catrijn Vervoort had their son Pieter baptized in the O.K. in  the presence of Antonij Nijs (of R 7616) and Petronella Syts (DTB 6/54). (Pieter Boddens I and Petronella Syts (or Sijdt) were witnesses to the baptism of a child of Anthony Nijs in 1624).  This first child named Pieter died soon afterwards. On 3 September 1624, Pieter Boddens and Catrijna Vervoocht (sic) had their son, again named Pieter, baptized in the N.K. in the presence of Petronella Syts (DTB 40/269). This second child by the name of Pieter is identical with Pieter Boddens (de jonge) of INVNO 321 (R 239 of Montias1). On 27 February 1631, Pieter Boddens and Caterijn Vervoort had their daugher Cattrijn baptized in the O.K. in the presence of Isaack Boddens and Catrijn Roekoert (DTB 6/298). According to an act dated 15 January 1630, Isaack Boddens had leased a dying works in which he employed Claes Fredericksz., dyer of bombasijn for one year as meester knecht for 24 schellingen per week (Van Dillen, Bronnen tot de geschiedenis van het bedrijfsleven R.G.P. 78(1933), p.696).  Maycken Boddens (of INVNO 328),  the sister of Isaack Boddens, was first married to the preacher Johan Maryn de jonge.   On 9 December 1636, the honorable Jan Maryn de oude, as grandfather on the father's side of Cathalyntge and Johannes Maryn, children of Johan Maryn de jonge, procreated by Maycken Boddens, on one side, and the same Maycken Boddens, widow of the same Jan Maryn de jonge, in his life, servant of God's word (preacher) in Hattem, assisted by Isaack Boddens, her brother and chosen guardian, came to an agreement concerning the inheritance left by Jan Maryn de jonge (NA 414A, fol. 577).  On 5 November 1638, Maycken Boddens appeared on 5 November 1638  before the Orphan Chamber with her brother and guardian Isaac Boddens and declared that her two children were entitled to 5,000 f. on account of their father's death (WK 5073/789). Maycken Boddens remarried with the chamois leather tanner Jan Mathijsz. van Tongeren of INVNO 328 on 15 July 1645. On 15 January 1620, Isaack Boddens, sydelakencooper (silk cloth merchant) bought one third of a house on the Warmoesstraat, called de koopman, from the wine dealer Reynier van Buren (Kam, Waar was dat huis in de Warmoesstraat?, p. 359). In 1628, Isaack Boddens was one of the signatories of a petition to dismiss the Remonstrant leaders of the militia (Wagenaar, Amsterdam, p. 501). Catrijn Roekoert, who was a witness to the baptism of Cattrina Boddens, may have been the widow (nee Catrijn Roseau) of the painter Louis Rocourt of INVNO 624. On 14 August 1630, Pieter Boddens, koopman, had Pieter Mathijsen, cloth dyer, testify regarding the quality of certain dyed cloths (Van Dillen, op.cit.,  p. 723). Pieter Boddens de oude was buried on 11 December 1634 (Elias, ibid.) On 17 January 1636, Catherina Vervoort, widow and custodian of the estate of Pieter Boddens, on one side, and Susanna Ruts (of R 299),  widow of Jan Boddens (Pieter's brother, who died on 22 February 1634), as mother of her five children, on the other, declared that the children were entitled to 2,000 f. for their inheritance from Pieter Boddens (WK 5073/789.) Susanna Ruts was the daughter of Nicolaes Ruts who was portrayed by Rembrandt. Jan Boddens bought a house on the Warmoesstraat, 't huys van Dornik, formerly called de Swaen, from the brothers  Jan, Mathijs, Melchizedeck, and Janneken Sandra on 24 January 1625. He seems to have lived in the same house or next door to his brother (?)  Isaack Boddens (Kam, Waar was dat huis in de Warmoesstraat?, p. 360, 39/16). On 28 August 1636, Cathaline Vervoort passed her testament. She named as her universal heirs her three children Pieter, Abraham, and Cathaline in equal shares. In case of their death, the inheritance was to devolve on Isaack Boddens (NA 642, film 4953, Not. Sybrant Cornelissen). On 29(?) September 1636, Catelina Vervoort, widow of Pieter Boddens and sister of Francois Vervoort, apothecary in Reciff van Pernambuco, named a correspondent in Middelburg to collect money from the W.I.C. on behalf of Francois Vervoort's children (NA 843, fol. 1313, Not. Hoogeboom). On 27 March 1637, Catharina Vervoort, widow of Pieter Boddens (I) named Wybrant van Steijn, merchant in Nantes, to collect 700 f. from Reynier de Vau in Nantes (NA 521, Not. Westfrisius).  On 7 July 1643, Catharina Vervoort drew up a procuration to collect money on a letter of exchange (NA 997, film 1882, Not. Gerrit Coren). On 16 May 1659, Catharina van der Voort (or Vervoort), widow of Pieter Boddens, appeared before notary J. van der Ven to transfer some goods to her daughter Catharina Boddens Pieters, of major age (meerdejarige) (she was baptized in 1631 and was by then 28 years old). These included 15 paintings (a seascape by Porcellis, another by Berestraat), none of which seemed to match with the paintings in the present inventory. Given the date of the present inventory (1635), it is doubtful whether the painting by Berestraat could have been bought before the death of Pieter Boddens. For this inventory, see NA 1129, film 1299. In the Westfrisius inventory of 6 January 1635,  the name of the owner is spelled Buddens. The spelling in Elias's Vroedschap has been retained. In 1631, Pieter Boddens, living on the Deventer Houtmarckt, paid a tax of 75 f. (Kohier, fol. 276vo, p. 63). The religion of Pieter Boddens de oude  is inferred from the titles of the books he owned, including Uijtlegginge Johannes Calvini op alle de sentbrieven van Paulus and books by the strict Calvinist Jacob Triglandius. The fact that Isaack Boddens signed the anti-Remonstrant petition of 1628 complaining about the appointment of Jan Claesz. Vlooswijck, is also significant (Wagenaar, Amsterdam, vol. 3, p. 501). It is not certain whether the individual named Isaack Boddens who was listed as a horse lover belonging to an elite manege in Amsterdam is identical with the one mentioned above (Jaarboek Amstelodamum 65(1960), p.76).","Inventaris van den imboel ende de huysgen raet van wijlen Pieter Buddens ende Catharina van der Voort in haer leven echte luijden binnen deser stadt, beschreven gelijck de selve by het overlijden van den voorn. Pieter Buddens tsijnen huijse staende binnen deser stede aen de Deventer houtmarckt bevonden is, getaxeert ende geschat door Aeltien Claes ende Engelet Jacobs beijde gesworen schatsers door mij notaris etc... Postscript: Aldus gedaen geinventariseert ende getaxeert opten 6-en ende 7-en Januarij 1635."
298,310,Gemeentearchief Amsterdam,"569, film 6548, fol. 100-105",Notarial,1636/04/26,Stevensz.,Amsterdam,14,Nederland,146 |d ,1766 |d ,1607 |d bef. 1641,1630/03/21,Kerk,and his wife Annetge Dionijs (or Denijs),"Stevensz., Gerrit",B,L. Lamberti,,unknown,probably Reformed,In de Prinsestraet in Amsterdam,"See also INVNO 3100. On 21 March 1630, Gerrit Stevensz., 23 years old, from Amsterdam, assisted by his guardian Hans van der Burch, shoemaker, was betrothed to Annetje Denijs, from Amsterdam, 27, assisted by her father Hendrick Denijs Boomsloot (DTB 435/135). On 26 October 1630, Heyltge Stevens, widow of Frans Wouters, glassware dealer, on one side, and Gerard Stevens, her brother, on the other, settled the inheritance of their parents and of Jan Stevens, their putative brother (NA 847). On 13 October 1635, Gerrit Stevens, about to sail for the East Indies on the ship Swol gave a procuration to his wife Anneken Dionijs to handle his affairs during his absence (NA 502, Not. Westfrisius).  On 29 April 1636, Meyndert Abrahamsz., glassware dealer, was cited as husband and guardian of Heijltgen Stevens, widow of Franchoys Woutersz. (NA 889, Not. Van Zwieten).   On 19 April 1641, Annetje Denijs, widow of Gerrit Stevensz., was betrothed to Jacob Cornelisz., widower of Giert Jans (DTB 455/198).","Specificatie van allen den huijsraet [...] toebehorende Gerrit Stevensz. tegenwoordich in Oost  Indien ende Annetge Dionijs echte luijden , ten versoecke vanden selve Annetge Dionijs gemaeckt ende getaxeert by Aeltge Claes ende Annetge Hendrix gesworen taxeerters deser stede [etc..] Postscriptum: Aldus gespecificeert ende getaxeert in Amstelredamme ten huyse vande voors. Annetge Dionijs gestaen inde Prinsestraet desen xxvi-en April anno xvi C sessendertich ter presentie van Claes van Zanten ende Wessel Claesz. poorteren ende getuijgen"
299,398,Gemeentearchief Amsterdam,"569, filmnrs. 4920 and 6548, fol. 57-65",Notarial,1636/03/07,Ruts,Amsterdam,13,Nederland,414 |d ,,1597 |d 1634/02/22; 1598 |d 1649/03/03  |n Ruts,1619/02/16,,widow of Joannes Boddens,"Ruts, Susanna",F,L. Lamberti,Manufacturer |a Other,inventory taken before marriage,Reformed,Op den fluweelenburgwal in't huijs van Doornick in Amsterdam,"Joannes (or Jan) Boddens Pietersz.  was born in Haarlem on 9 May 1597 and died in Amsterdam on 22 February 1634. He settled with his father Pieter Boddens in Amsterdam in the Warmoesstraet where they carried on a business in manufactures. He bought a house 't Huys van Doornick, formerly called de Swaen in the Warmoesstraet in 1625 for 22,500 f.. He married Susanna Ruts, daughter of Nicolaes Ruts and Cornelia Ranson (see R 24918 of Montias2),  on 26 February 1619 (Elias, Vroedschap, p. 628). Susanna Ruts was born in Cologne on 4 September 1598 (Elias, op.cit. p.1004).  In 1631, Joannes Boddens, living in the Warmoesstraat, paid a tax of 125 f. Boddens was buried on 22 February 1634.  On 31 August 1634, the honorable Susanna Ruts, widow of Jan Boddens, assisted by her father and guardian Nicolaes Ruts, on one side, and Andries Barentsz., dyer, living on the Regulierspoort, on the other, came to an agreement on the use of an empty lot in front of Andries Barentsz.'s dyeworks, which had been used by Boddens as a garden and closbaen (a sort of tennis court). The widow agreed to pay Barentsz. 24 f. per year for the use of the lot (NA 991, fol.40, Not. J. Bosch).   On 1 April 1636, shortly after the present inventory was drawn up, Mr. Peter van der Hagen, widower of Anna Seroskerken, raad van Brasilien, living in 's Hertogenbosch, was married to Susanna Ruts, from Ceulen, widow of Jan Boddens (De Navorscher 8(1858), p. 318) Pieter van Hagen, baptized in Keulen on 13 May 1598, died in Leiden on 11 January 1668. He was named to the Vroedschap of Brazil in the same year as he was married to Susanna Ruts.  Susanna Ruts died in Lisse on 3 March 1649. Catharina Boddens, the daughter of Joannes Boddens and Susanna Ruts, married Johannes Rooswinckel of Lisse in 1644 (Van Eeghen, Maandblad Amstelodamum 64(1977), p. 99). The son of Susanna Ruts and Pieter van der Hagen, named Petrus, born in Amsterdam on 26 February 1641, became the predikant of the Reformed Church for the delegation of the Dutch Republic in Paris in 1661-2 (Elias, loc.cit.)","Inventory of Susanna Ruts , widow of Joannes Boddens, about to remarry with Pieter van der Hagen, gewezen raed van Indie"
300,402,Gemeentearchief Amsterdam,568,Notarial,1635/03/05,Bouwers,Amsterdam,70,Nederland,,,1566 |d 1635/01/13,1582/09/16,,widow of Sijwert Pietersz. Sem  (1560-1632),"Bouwers, Maritge",F,L. Lamberti,Merchant (largescale); Regent,death inventory,Roman Catholic,Op de Oudesijts ooster Voorburgwal in Amsterdam,"On Syvert Pietersz. Sem, see the NOTES to R 27934 of Montias2 and  Elias, Vroedschap van Amsterdam, pp. 413-4. The religion of his widow (which may or may not have been his) is inferred from the altar in the inventory and from the altarpieces with Catholic content. The fact that her husband's brother Jan Pietersz. Sem was the guardian of Marritge Hermans, the sister of the engraver Jan Hermansz. Muller (cf. the NOTES to R 32237 of Montias2), who was most probably R.C., adds to the presumption that at least part of  the family was R.C. Mary or Maritge Bouwers was the daughter of Arent Bouwer (1520-1585) and of Neel Hillebrants.  On 27 March 1619, the sister of Maritge, named Helena Bouwers (see R 27876 of Montias2), sold to him a house situated on the Warmoesstraat (no. 88) (J.G. Kam, Waar was dat huis in de Warmoesstraat?, 1968, p. 32/1). Maritge was also the sister of Hans Bouwer I (of INVNO 537), and, probably, of Lysbeth Bouwers(of INVNO 694). She was the aunt of Melchior Bouwer of R 27856 of Montias2.","Inventaris ende specificatie van allen den goederen nagelaten by z. Maritge Bouwers weduwe was wijlen Sijwert Pietersz. Sem zulx zy die metter doot deser werelt ontruijmt ende nagelaten heeft ... Postscript:Aldus geinventariseert in den sterfhuijs vande voors. Maria Bouwers gestaen op de Oudesijt ooster Voorburgwal  op den vierde Frebruary ende 5-6 Maert 1635 ten overstaen van de E. Wybrant Sem, Hendrick Jansz. de Jonge, Isaack van Gherwen, ende Maria Bouwers de Jonge."
302,401,Gemeentearchief Amsterdam,568,Notarial,1634/06/12,Vossum,Amsterdam,30,Nederland,,,,,,and her husband Michiel Pietersz.,"Vossum, Annetgen van",F,L. Lambertia,"Artisan |a Diamond polisher, gold thread worker",unknown,Roman Catholic,Amsterdam,"Michiel Pietersz. was a goldbeater (he made gold leaf). On 11 May 1630, Michiel Pietersz. Hart, from Hamburgh, 28, no living parents, living on the O.Z. Achterburchwal, was betrothed to Annetje van Vossen, from Antwerp, widow of Jacob Thijmensz. (8 months a widow) (DTB 671/232). Jacob Thijmensz. was most probably the goldbeater who issued an obligation under the supervision of the aldermen (schepenkennis) in behalf of his uncle Robert de Baudoes (of R 28053) for f. 318:15:--. This obligation was liquidated in 1626 (Obreen, Archief 2(1879-1880), p. 162).  On 19 October 1634, Michel Pietersz. Hart, widower of Anna van Vossum, was betrothed to Marritje Gerrits (DTB 443/84).",Inventory of the goods owned by the late Annetgen van Vossum owned in common with her husband Michiel Pietersz. goutslager
309,408,Gemeentearchief Amsterdam,840 film no. 567,Notarial,1639/04/15,Thijs,Amsterdam,59,Nederland,1080 |d  5 stuivers,,1607 |d ?  |n Catharina Thijs; 1602 |d 1639/02/21  |n Van Swol,1632/10/21,K,widow of Samuel van Swol,"Thijs, Catharina",F,Cornelis Hoogenboom,"Employee |a Admiralty, V.O.C., W.I.C.",death inventory,probably Reformed,In de spinhuissteeg in Amsterdam,"On 21 October 1632, Samuel van Swol, from Amsterdam, bookkeeper, 27 years old, assisted by his father Jan van Swoll, living in the Spinsteech, was betrothed to Catherina Thijs, 25 (DTB 439/474). Catharina was the daughter of Francoijs Thijsz. and Hedwige de Bacher and the niece of Hans Thijsz. de oude of INVNO 690.  On 28 July 1633, the couple had their son Joannis baptized in the O.K. in the presence of Samuel Bacher (Catharina's brother)  and Magdalena Thijsdr. (Catharina's aunt, the sister of Francoijs Thijsz.) (DTB 6/374). Samuel van Swol was buried in the W.K. on 21 February 1639, leaving two children (Elias, Vroedschap, p. 398). Catharina Thijs remarried on 2 December 1642 with Dr. Allard Cloeck (1588-1645) (ibid.)","...Catharina Thijs weduwe en boedelhouster van Samuel van Swol, gedaen maecken bij de selve weduwe end sijn by Aeltgen Claes ende Annetge Hendrix gesworen taxeersters ... gepriseert ..."
